model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
qwen3-4b,0,desc,desc,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2870,3066,4.875,4.75,-0.125,-21.0,-21.125,-0.125,2.0
qwen3-4b,0,desc,desc,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,0,13,13,14.5625,14.5625,0.0,-11.3125,-11.3125,0.0,2.0
qwen3-4b,0,desc,desc,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,0,0,0,25.875,25.875,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,desc,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,0,5,6,16.625,16.5,-0.125,-9.25,-9.375,-0.125,2.0
qwen3-4b,0,desc,desc,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,0,789,761,7.375,7.4375,0.0625,-18.5,-18.4375,0.0625,2.0
qwen3-4b,0,desc,desc,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,0,7972,8018,2.796875,2.78125,-0.015625,-23.078125,-23.09375,-0.015625,2.0
qwen3-4b,0,desc,desc,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2412,2450,5.21875,5.1875,-0.03125,-20.65625,-20.6875,-0.03125,2.0
qwen3-4b,0,desc,val,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,3,2870,1368,4.875,8.875,4.0,-21.0,-7.25,13.75,2.0
qwen3-4b,0,desc,val,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,3,13,0,14.5625,17.125,2.5625,-11.3125,1.0,12.3125,2.0
qwen3-4b,0,desc,val,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,3,0,3,25.875,16.125,-9.75,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,val,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,3,5,74,16.625,12.3125,-4.3125,-9.25,-3.8125,5.4375,2.0
qwen3-4b,0,desc,val,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,3,789,62,7.375,12.8125,5.4375,-18.5,-3.3125,15.1875,2.0
qwen3-4b,0,desc,val,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,3,7972,65104,2.796875,3.171875,0.375,-23.078125,-12.953125,10.125,2.0
qwen3-4b,0,desc,val,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,3,2412,235,5.21875,11.0,5.78125,-20.65625,-5.125,15.53125,2.0
qwen3-4b,0,desc,freq,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,5,2870,0,4.875,18.25,13.375,-21.0,4.0,25.0,2.0
qwen3-4b,0,desc,freq,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,5,13,36,14.5625,11.875,-2.6875,-11.3125,-2.375,8.9375,2.0
qwen3-4b,0,desc,freq,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,5,0,5,25.875,14.25,-11.625,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,freq,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,5,5,150,16.625,9.625,-7.0,-9.25,-4.625,4.625,2.0
qwen3-4b,0,desc,freq,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,5,789,678,7.375,7.4375,0.0625,-18.5,-6.8125,11.6875,2.0
qwen3-4b,0,desc,freq,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,5,7972,12388,2.796875,2.46875,-0.328125,-23.078125,-11.78125,11.296875,2.0
qwen3-4b,0,desc,freq,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,5,2412,3190,5.21875,4.9375,-0.28125,-20.65625,-9.3125,11.34375,2.0
qwen3-4b,0,val,desc,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2870,3518,4.875,2.03125,-2.84375,-21.0,-21.59375,-0.59375,2.0
qwen3-4b,0,val,desc,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,0,13,6,14.5625,13.375,-1.1875,-11.3125,-10.25,1.0625,2.0
qwen3-4b,0,val,desc,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,0,0,0,25.875,23.625,-2.25,0.0,0.0,0.0,2.0
qwen3-4b,0,val,desc,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,0,5,4,16.625,13.75,-2.875,-9.25,-9.875,-0.625,2.0
qwen3-4b,0,val,desc,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,0,789,608,7.375,5.375,-2.0,-18.5,-18.25,0.25,2.0
qwen3-4b,0,val,desc,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,0,7972,6695,2.796875,0.66796875,-2.12890625,-23.078125,-22.95703125,0.12109375,2.0
qwen3-4b,0,val,desc,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2412,2129,5.21875,3.0625,-2.15625,-20.65625,-20.5625,0.09375,2.0
qwen3-4b,0,val,val,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,1,2870,2935,4.875,2.484375,-2.390625,-21.0,-20.765625,0.234375,2.0
qwen3-4b,0,val,val,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,1,13,8,14.5625,13.3125,-1.25,-11.3125,-9.9375,1.375,2.0
qwen3-4b,0,val,val,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,1,0,1,25.875,23.25,-2.625,0.0,0.0,0.0,2.0
qwen3-4b,0,val,val,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,1,5,4,16.625,13.6875,-2.9375,-9.25,-9.5625,-0.3125,2.0
qwen3-4b,0,val,val,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,1,789,671,7.375,5.25,-2.125,-18.5,-18.0,0.5,2.0
qwen3-4b,0,val,val,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,1,7972,6514,2.796875,0.78125,-2.015625,-23.078125,-22.46875,0.609375,2.0
qwen3-4b,0,val,val,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,1,2412,2163,5.21875,3.09375,-2.125,-20.65625,-20.15625,0.5,2.0
qwen3-4b,0,val,freq,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,4,2870,0,4.875,16.375,11.5,-21.0,4.5,25.5,2.0
qwen3-4b,0,val,freq,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,4,13,8,14.5625,11.25,-3.3125,-11.3125,-0.625,10.6875,2.0
qwen3-4b,0,val,freq,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,4,0,4,25.875,11.875,-14.0,0.0,0.0,0.0,2.0
qwen3-4b,0,val,freq,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,4,5,175,16.625,6.9375,-9.6875,-9.25,-4.9375,4.3125,2.0
qwen3-4b,0,val,freq,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,4,789,871,7.375,4.4375,-2.9375,-18.5,-7.4375,11.0625,2.0
qwen3-4b,0,val,freq,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,4,7972,6071,2.796875,0.8984375,-1.8984375,-23.078125,-10.9765625,12.1015625,2.0
qwen3-4b,0,val,freq,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,4,2412,2981,5.21875,2.25,-2.96875,-20.65625,-9.625,11.03125,2.0
qwen3-4b,0,freq,desc,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2870,3107,4.875,4.75,-0.125,-21.0,-21.125,-0.125,2.0
qwen3-4b,0,freq,desc,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,0,13,13,14.5625,14.5,-0.0625,-11.3125,-11.375,-0.0625,2.0
qwen3-4b,0,freq,desc,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,0,0,0,25.875,25.875,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,desc,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,0,5,6,16.625,16.5,-0.125,-9.25,-9.375,-0.125,2.0
qwen3-4b,0,freq,desc,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,0,789,754,7.375,7.46875,0.09375,-18.5,-18.40625,0.09375,2.0
qwen3-4b,0,freq,desc,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,0,7972,8026,2.796875,2.796875,0.0,-23.078125,-23.078125,0.0,2.0
qwen3-4b,0,freq,desc,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2412,2526,5.21875,5.15625,-0.0625,-20.65625,-20.71875,-0.0625,2.0
qwen3-4b,0,freq,val,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2870,5528,4.875,7.625,2.75,-21.0,-10.0,11.0,2.0
qwen3-4b,0,freq,val,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,0,13,1,14.5625,17.625,3.0625,-11.3125,0.0,11.3125,2.0
qwen3-4b,0,freq,val,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,0,0,0,25.875,17.625,-8.25,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,val,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,0,5,78,16.625,13.0625,-3.5625,-9.25,-4.5625,4.6875,2.0
qwen3-4b,0,freq,val,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,0,789,52,7.375,13.6875,6.3125,-18.5,-3.9375,14.5625,2.0
qwen3-4b,0,freq,val,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,0,7972,42596,2.796875,4.5,1.703125,-23.078125,-13.125,9.953125,2.0
qwen3-4b,0,freq,val,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2412,196,5.21875,11.9375,6.71875,-20.65625,-5.6875,14.96875,2.0
qwen3-4b,0,freq,freq,fr,es,de,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2870,3107,4.875,4.75,-0.125,-21.0,-21.125,-0.125,2.0
qwen3-4b,0,freq,freq,fr,es,de,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,0,13,13,14.5625,14.5,-0.0625,-11.3125,-11.375,-0.0625,2.0
qwen3-4b,0,freq,freq,fr,es,de,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,0,0,0,25.875,25.875,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,freq,fr,es,de,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,0,5,6,16.625,16.5,-0.125,-9.25,-9.375,-0.125,2.0
qwen3-4b,0,freq,freq,fr,es,de,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,0,789,754,7.375,7.46875,0.09375,-18.5,-18.40625,0.09375,2.0
qwen3-4b,0,freq,freq,fr,es,de,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,0,7972,8026,2.796875,2.796875,0.0,-23.078125,-23.078125,0.0,2.0
qwen3-4b,0,freq,freq,fr,es,de,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,0,2412,2526,5.21875,5.15625,-0.0625,-20.65625,-20.71875,-0.0625,2.0
qwen3-4b,0,desc,desc,fr,es,en,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,76,2870,21062,4.875,nan,nan,-21.0,nan,nan,2.0
qwen3-4b,0,desc,desc,fr,es,en,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,76,13,13855,14.5625,nan,nan,-11.3125,nan,nan,2.0
qwen3-4b,0,desc,desc,fr,es,en,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,76,0,76,25.875,nan,nan,0.0,nan,nan,2.0
qwen3-4b,0,desc,desc,fr,es,en,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,76,5,1728,16.625,nan,nan,-9.25,nan,nan,2.0
qwen3-4b,0,desc,desc,fr,es,en,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,76,789,132430,7.375,nan,nan,-18.5,nan,nan,2.0
qwen3-4b,0,desc,desc,fr,es,en,ko,나쁜,bueno,"Le contraire de ""bueno"" est """,malo,0,76,7972,60315,2.796875,nan,nan,-23.078125,nan,nan,2.0
qwen3-4b,0,desc,desc,fr,es,en,zh,坏,bueno,"Le contraire de ""bueno"" est """,malo,0,76,2412,100250,5.21875,nan,nan,-20.65625,nan,nan,2.0
qwen3-4b,0,desc,val,fr,es,en,de,schlecht,bueno,"Le contraire de ""bueno"" est """,malo,0,76,2870,21062,4.875,nan,nan,-21.0,nan,nan,2.0
qwen3-4b,0,desc,val,fr,es,en,en,bad,bueno,"Le contraire de ""bueno"" est """,malo,0,76,13,13855,14.5625,nan,nan,-11.3125,nan,nan,2.0
qwen3-4b,0,desc,val,fr,es,en,es,malo,bueno,"Le contraire de ""bueno"" est """,malo,0,76,0,76,25.875,nan,nan,0.0,nan,nan,2.0
qwen3-4b,0,desc,val,fr,es,en,fr,mauvais,bueno,"Le contraire de ""bueno"" est """,malo,0,76,5,1728,16.625,nan,nan,-9.25,nan,nan,2.0
qwen3-4b,0,desc,val,fr,es,en,ja,悪い,bueno,"Le contraire de ""bueno"" est """,malo,0,76,789,132430,7.375,nan,nan,-18.5,nan,nan,2.0
