model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
gemma-2-2b,0,desc,desc,es,de,de,de,schlecht,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,131,131,18.75,18.75,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,es,de,de,en,bad,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,0,0,23.375,23.375,0.0,4.625,4.625,0.0,2.0
gemma-2-2b,0,desc,desc,es,de,de,es,malo,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,11,11,21.0,21.0,0.0,2.25,2.25,0.0,2.0
gemma-2-2b,0,desc,desc,es,de,de,fr,mauvais,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,134,134,18.75,18.75,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,es,de,de,ja,悪い,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,17445,17445,10.3125,10.3125,0.0,-8.4375,-8.4375,0.0,2.0
gemma-2-2b,0,desc,desc,es,de,de,ko,나쁜,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,53397,53397,7.5,7.5,0.0,-11.25,-11.25,0.0,2.0
gemma-2-2b,0,desc,desc,es,de,de,zh,坏,gut,"Lo opuesto de ""gut"" es """,schlecht,131,131,5606,5606,12.9375,12.9375,0.0,-5.8125,-5.8125,0.0,2.0
gemma-2-2b,0,desc,val,es,de,de,de,schlecht,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,131,280,18.75,13.375,-5.375,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,val,es,de,de,en,bad,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,0,0,23.375,21.0,-2.375,4.625,7.625,3.0,2.0
gemma-2-2b,0,desc,val,es,de,de,es,malo,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,11,12,21.0,16.75,-4.25,2.25,3.375,1.125,2.0
gemma-2-2b,0,desc,val,es,de,de,fr,mauvais,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,134,93,18.75,14.75,-4.0,0.0,1.375,1.375,2.0
gemma-2-2b,0,desc,val,es,de,de,ja,悪い,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,17445,11724,10.3125,6.96875,-3.34375,-8.4375,-6.40625,2.03125,2.0
gemma-2-2b,0,desc,val,es,de,de,ko,나쁜,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,53397,58268,7.5,3.0,-4.5,-11.25,-10.375,0.875,2.0
gemma-2-2b,0,desc,val,es,de,de,zh,坏,gut,"Lo opuesto de ""gut"" es """,schlecht,131,280,5606,5302,12.9375,8.75,-4.1875,-5.8125,-4.625,1.1875,2.0
gemma-2-2b,0,desc,freq,es,de,de,de,schlecht,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,131,193,18.75,14.3125,-4.4375,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,freq,es,de,de,en,bad,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,0,0,23.375,20.875,-2.5,4.625,6.5625,1.9375,2.0
gemma-2-2b,0,desc,freq,es,de,de,es,malo,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,11,54,21.0,15.5625,-5.4375,2.25,1.25,-1.0,2.0
gemma-2-2b,0,desc,freq,es,de,de,fr,mauvais,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,134,17,18.75,16.875,-1.875,0.0,2.5625,2.5625,2.0
gemma-2-2b,0,desc,freq,es,de,de,ja,悪い,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,17445,23735,10.3125,6.1875,-4.125,-8.4375,-8.125,0.3125,2.0
gemma-2-2b,0,desc,freq,es,de,de,ko,나쁜,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,53397,32822,7.5,5.375,-2.125,-11.25,-8.9375,2.3125,2.0
gemma-2-2b,0,desc,freq,es,de,de,zh,坏,gut,"Lo opuesto de ""gut"" es """,schlecht,131,193,5606,9638,12.9375,8.25,-4.6875,-5.8125,-6.0625,-0.25,2.0
gemma-2-2b,0,val,desc,es,de,de,de,schlecht,gut,"Lo opuesto de ""gut"" es """,schlecht,131,0,131,0,18.75,21.5,2.75,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,desc,es,de,de,en,bad,gut,"Lo opuesto de ""gut"" es """,schlecht,131,0,0,24,23.375,19.625,-3.75,4.625,-1.875,-6.5,2.0
