model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
qwen3-4b,0,desc,desc,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,92,13481,13481,1.359375,1.359375,0.0,-7.765625,-7.765625,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,92,31,31,10.5,10.5,0.0,1.375,1.375,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,92,2346,2346,4.03125,4.03125,0.0,-5.09375,-5.09375,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,92,1336,1336,4.90625,4.90625,0.0,-4.21875,-4.21875,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,92,82,82,9.3125,9.3125,0.0,0.1875,0.1875,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,92,0,0,14.6875,14.6875,0.0,5.5625,5.5625,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,92,92,92,9.125,9.125,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,val,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,14,13481,3989,1.359375,7.78125,6.421875,-7.765625,-4.96875,2.796875,2.0
qwen3-4b,0,desc,val,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,14,31,0,10.5,14.9375,4.4375,1.375,2.1875,0.8125,2.0
qwen3-4b,0,desc,val,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,14,2346,175,4.03125,10.6875,6.65625,-5.09375,-2.0625,3.03125,2.0
qwen3-4b,0,desc,val,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,14,1336,1271,4.90625,8.875,3.96875,-4.21875,-3.875,0.34375,2.0
qwen3-4b,0,desc,val,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,14,82,18,9.3125,12.625,3.3125,0.1875,-0.125,-0.3125,2.0
qwen3-4b,0,desc,val,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,14,0,383,14.6875,10.0,-4.6875,5.5625,-2.75,-8.3125,2.0
qwen3-4b,0,desc,val,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,14,92,14,9.125,12.75,3.625,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,freq,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,204,13481,1,1.359375,14.6875,13.328125,-7.765625,7.4375,15.203125,2.0
qwen3-4b,0,desc,freq,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,204,31,51,10.5,8.9375,-1.5625,1.375,1.6875,0.3125,2.0
qwen3-4b,0,desc,freq,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,204,2346,265,4.03125,6.875,2.84375,-5.09375,-0.375,4.71875,2.0
qwen3-4b,0,desc,freq,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,204,1336,2900,4.90625,3.75,-1.15625,-4.21875,-3.5,0.71875,2.0
qwen3-4b,0,desc,freq,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,204,82,84,9.3125,8.3125,-1.0,0.1875,1.0625,0.875,2.0
qwen3-4b,0,desc,freq,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,204,0,7,14.6875,11.25,-3.4375,5.5625,4.0,-1.5625,2.0
qwen3-4b,0,desc,freq,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,204,92,204,9.125,7.25,-1.875,0.0,0.0,0.0,2.0
qwen3-4b,0,val,desc,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,751,13481,14543,1.359375,1.25,-0.109375,-7.765625,-4.3125,3.453125,2.0
qwen3-4b,0,val,desc,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,751,31,285,10.5,7.0625,-3.4375,1.375,1.5,0.125,2.0
qwen3-4b,0,val,desc,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,751,2346,4813,4.03125,2.9375,-1.09375,-5.09375,-2.625,2.46875,2.0
qwen3-4b,0,val,desc,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,751,1336,1015,4.90625,5.15625,0.25,-4.21875,-0.40625,3.8125,2.0
qwen3-4b,0,val,desc,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,751,82,433,9.3125,6.4375,-2.875,0.1875,0.875,0.6875,2.0
qwen3-4b,0,val,desc,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,751,0,0,14.6875,14.0,-0.6875,5.5625,8.4375,2.875,2.0
qwen3-4b,0,val,desc,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,751,92,751,9.125,5.5625,-3.5625,0.0,0.0,0.0,2.0
qwen3-4b,0,val,val,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,828,13481,12257,1.359375,1.484375,0.125,-7.765625,-3.921875,3.84375,2.0
qwen3-4b,0,val,val,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,828,31,344,10.5,6.75,-3.75,1.375,1.34375,-0.03125,2.0
qwen3-4b,0,val,val,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,828,2346,4892,4.03125,2.859375,-1.171875,-5.09375,-2.546875,2.546875,2.0
qwen3-4b,0,val,val,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,828,1336,1233,4.90625,4.8125,-0.09375,-4.21875,-0.59375,3.625,2.0
qwen3-4b,0,val,val,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,828,82,468,9.3125,6.28125,-3.03125,0.1875,0.875,0.6875,2.0
qwen3-4b,0,val,val,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,828,0,0,14.6875,13.875,-0.8125,5.5625,8.46875,2.90625,2.0
qwen3-4b,0,val,val,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,828,92,828,9.125,5.40625,-3.71875,0.0,0.0,0.0,2.0
qwen3-4b,0,val,freq,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,1211,13481,1,1.359375,12.75,11.390625,-7.765625,9.390625,17.15625,2.0
qwen3-4b,0,val,freq,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,1211,31,268,10.5,5.5625,-4.9375,1.375,2.203125,0.828125,2.0
qwen3-4b,0,val,freq,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,1211,2346,2234,4.03125,2.453125,-1.578125,-5.09375,-0.90625,4.1875,2.0
qwen3-4b,0,val,freq,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,1211,1336,23617,4.90625,-1.2578125,-6.1640625,-4.21875,-4.6171875,-0.3984375,2.0
qwen3-4b,0,val,freq,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,1211,82,346,9.3125,5.21875,-4.09375,0.1875,1.859375,1.671875,2.0
qwen3-4b,0,val,freq,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,1211,0,3,14.6875,11.375,-3.3125,5.5625,8.015625,2.453125,2.0
qwen3-4b,0,val,freq,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,1211,92,1211,9.125,3.359375,-5.765625,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,desc,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,94,13481,13361,1.359375,1.375,0.015625,-7.765625,-7.6875,0.078125,2.0
qwen3-4b,0,freq,desc,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,94,31,33,10.5,10.4375,-0.0625,1.375,1.375,0.0,2.0
qwen3-4b,0,freq,desc,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,94,2346,2412,4.03125,3.984375,-0.046875,-5.09375,-5.078125,0.015625,2.0
qwen3-4b,0,freq,desc,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,94,1336,1301,4.90625,4.9375,0.03125,-4.21875,-4.125,0.09375,2.0
qwen3-4b,0,freq,desc,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,94,82,82,9.3125,9.3125,0.0,0.1875,0.25,0.0625,2.0
qwen3-4b,0,freq,desc,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,94,0,0,14.6875,14.6875,0.0,5.5625,5.625,0.0625,2.0
qwen3-4b,0,freq,desc,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,94,92,94,9.125,9.0625,-0.0625,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,val,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,17,13481,20456,1.359375,6.5,5.140625,-7.765625,-7.5,0.265625,2.0
qwen3-4b,0,freq,val,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,17,31,2,10.5,15.375,4.875,1.375,1.375,0.0,2.0
qwen3-4b,0,freq,val,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,17,2346,238,4.03125,11.0625,7.03125,-5.09375,-2.9375,2.15625,2.0
qwen3-4b,0,freq,val,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,17,1336,2309,4.90625,8.75,3.84375,-4.21875,-5.25,-1.03125,2.0
qwen3-4b,0,freq,val,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,17,82,24,9.3125,13.4375,4.125,0.1875,-0.5625,-0.75,2.0
qwen3-4b,0,freq,val,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,17,0,140,14.6875,11.625,-3.0625,5.5625,-2.375,-7.9375,2.0
qwen3-4b,0,freq,val,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,17,92,17,9.125,14.0,4.875,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,freq,ko,zh,de,de,schlecht,好,"""好""의 반대말은 """,坏,92,94,13481,13361,1.359375,1.375,0.015625,-7.765625,-7.6875,0.078125,2.0
qwen3-4b,0,freq,freq,ko,zh,de,en,bad,好,"""好""의 반대말은 """,坏,92,94,31,33,10.5,10.4375,-0.0625,1.375,1.375,0.0,2.0
qwen3-4b,0,freq,freq,ko,zh,de,es,malo,好,"""好""의 반대말은 """,坏,92,94,2346,2412,4.03125,3.984375,-0.046875,-5.09375,-5.078125,0.015625,2.0
qwen3-4b,0,freq,freq,ko,zh,de,fr,mauvais,好,"""好""의 반대말은 """,坏,92,94,1336,1301,4.90625,4.9375,0.03125,-4.21875,-4.125,0.09375,2.0
qwen3-4b,0,freq,freq,ko,zh,de,ja,悪い,好,"""好""의 반대말은 """,坏,92,94,82,82,9.3125,9.3125,0.0,0.1875,0.25,0.0625,2.0
qwen3-4b,0,freq,freq,ko,zh,de,ko,나쁜,好,"""好""의 반대말은 """,坏,92,94,0,0,14.6875,14.6875,0.0,5.5625,5.625,0.0625,2.0
qwen3-4b,0,freq,freq,ko,zh,de,zh,坏,好,"""好""의 반대말은 """,坏,92,94,92,94,9.125,9.0625,-0.0625,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,desc,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,100250,13481,21062,1.359375,nan,nan,-7.765625,nan,nan,2.0
qwen3-4b,0,desc,desc,ko,zh,en,en,bad,好,"""好""의 반대말은 """,坏,92,100250,31,13855,10.5,nan,nan,1.375,nan,nan,2.0
qwen3-4b,0,desc,desc,ko,zh,en,es,malo,好,"""好""의 반대말은 """,坏,92,100250,2346,76,4.03125,nan,nan,-5.09375,nan,nan,2.0
qwen3-4b,0,desc,desc,ko,zh,en,fr,mauvais,好,"""好""의 반대말은 """,坏,92,100250,1336,1728,4.90625,nan,nan,-4.21875,nan,nan,2.0
qwen3-4b,0,desc,desc,ko,zh,en,ja,悪い,好,"""好""의 반대말은 """,坏,92,100250,82,132430,9.3125,nan,nan,0.1875,nan,nan,2.0
qwen3-4b,0,desc,desc,ko,zh,en,ko,나쁜,好,"""好""의 반대말은 """,坏,92,100250,0,60315,14.6875,nan,nan,5.5625,nan,nan,2.0
qwen3-4b,0,desc,desc,ko,zh,en,zh,坏,好,"""好""의 반대말은 """,坏,92,100250,92,100250,9.125,nan,nan,0.0,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,100250,13481,21062,1.359375,nan,nan,-7.765625,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,en,bad,好,"""好""의 반대말은 """,坏,92,100250,31,13855,10.5,nan,nan,1.375,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,es,malo,好,"""好""의 반대말은 """,坏,92,100250,2346,76,4.03125,nan,nan,-5.09375,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,fr,mauvais,好,"""好""의 반대말은 """,坏,92,100250,1336,1728,4.90625,nan,nan,-4.21875,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,ja,悪い,好,"""好""의 반대말은 """,坏,92,100250,82,132430,9.3125,nan,nan,0.1875,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,ko,나쁜,好,"""好""의 반대말은 """,坏,92,100250,0,60315,14.6875,nan,nan,5.5625,nan,nan,2.0
qwen3-4b,0,desc,val,ko,zh,en,zh,坏,好,"""好""의 반대말은 """,坏,92,100250,92,100250,9.125,nan,nan,0.0,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,100250,13481,21062,1.359375,nan,nan,-7.765625,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,en,bad,好,"""好""의 반대말은 """,坏,92,100250,31,13855,10.5,nan,nan,1.375,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,es,malo,好,"""好""의 반대말은 """,坏,92,100250,2346,76,4.03125,nan,nan,-5.09375,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,fr,mauvais,好,"""好""의 반대말은 """,坏,92,100250,1336,1728,4.90625,nan,nan,-4.21875,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,ja,悪い,好,"""好""의 반대말은 """,坏,92,100250,82,132430,9.3125,nan,nan,0.1875,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,ko,나쁜,好,"""好""의 반대말은 """,坏,92,100250,0,60315,14.6875,nan,nan,5.5625,nan,nan,2.0
qwen3-4b,0,desc,freq,ko,zh,en,zh,坏,好,"""好""의 반대말은 """,坏,92,100250,92,100250,9.125,nan,nan,0.0,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,100250,13481,21062,1.359375,nan,nan,-7.765625,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,en,bad,好,"""好""의 반대말은 """,坏,92,100250,31,13855,10.5,nan,nan,1.375,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,es,malo,好,"""好""의 반대말은 """,坏,92,100250,2346,76,4.03125,nan,nan,-5.09375,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,fr,mauvais,好,"""好""의 반대말은 """,坏,92,100250,1336,1728,4.90625,nan,nan,-4.21875,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,ja,悪い,好,"""好""의 반대말은 """,坏,92,100250,82,132430,9.3125,nan,nan,0.1875,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,ko,나쁜,好,"""好""의 반대말은 """,坏,92,100250,0,60315,14.6875,nan,nan,5.5625,nan,nan,2.0
qwen3-4b,0,val,desc,ko,zh,en,zh,坏,好,"""好""의 반대말은 """,坏,92,100250,92,100250,9.125,nan,nan,0.0,nan,nan,2.0
qwen3-4b,0,val,val,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,779,13481,11657,1.359375,1.6640625,0.3046875,-7.765625,-3.9609375,3.8046875,2.0
qwen3-4b,0,val,val,ko,zh,en,en,bad,好,"""好""의 반대말은 """,坏,92,779,31,347,10.5,6.875,-3.625,1.375,1.25,-0.125,2.0
qwen3-4b,0,val,val,ko,zh,en,es,malo,好,"""好""의 반대말은 """,坏,92,779,2346,5778,4.03125,2.734375,-1.296875,-5.09375,-2.890625,2.203125,2.0
qwen3-4b,0,val,val,ko,zh,en,fr,mauvais,好,"""好""의 반대말은 """,坏,92,779,1336,1449,4.90625,4.71875,-0.1875,-4.21875,-0.90625,3.3125,2.0
qwen3-4b,0,val,val,ko,zh,en,ja,悪い,好,"""好""의 반대말은 """,坏,92,779,82,419,9.3125,6.5625,-2.75,0.1875,0.9375,0.75,2.0
qwen3-4b,0,val,val,ko,zh,en,ko,나쁜,好,"""好""의 반대말은 """,坏,92,779,0,0,14.6875,14.0625,-0.625,5.5625,8.4375,2.875,2.0
qwen3-4b,0,val,val,ko,zh,en,zh,坏,好,"""好""의 반대말은 """,坏,92,779,92,779,9.125,5.625,-3.5,0.0,0.0,0.0,2.0
qwen3-4b,0,val,freq,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,817,13481,9982,1.359375,1.78125,0.421875,-7.765625,-3.59375,4.171875,2.0
qwen3-4b,0,val,freq,ko,zh,en,en,bad,好,"""好""의 반대말은 """,坏,92,817,31,315,10.5,6.8125,-3.6875,1.375,1.4375,0.0625,2.0
qwen3-4b,0,val,freq,ko,zh,en,es,malo,好,"""好""의 반대말은 """,坏,92,817,2346,5642,4.03125,2.640625,-1.390625,-5.09375,-2.734375,2.359375,2.0
qwen3-4b,0,val,freq,ko,zh,en,fr,mauvais,好,"""好""의 반대말은 """,坏,92,817,1336,1304,4.90625,4.71875,-0.1875,-4.21875,-0.65625,3.5625,2.0
qwen3-4b,0,val,freq,ko,zh,en,ja,悪い,好,"""好""의 반대말은 """,坏,92,817,82,468,9.3125,6.21875,-3.09375,0.1875,0.84375,0.65625,2.0
qwen3-4b,0,val,freq,ko,zh,en,ko,나쁜,好,"""好""의 반대말은 """,坏,92,817,0,0,14.6875,13.8125,-0.875,5.5625,8.4375,2.875,2.0
qwen3-4b,0,val,freq,ko,zh,en,zh,坏,好,"""好""의 반대말은 """,坏,92,817,92,817,9.125,5.375,-3.75,0.0,0.0,0.0,2.0
qwen3-4b,0,freq,desc,ko,zh,en,de,schlecht,好,"""好""의 반대말은 """,坏,92,100250,13481,21062,1.359375,nan,nan,-7.765625,nan,nan,2.0
