model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
qwen3-4b,0,desc,desc,zh,de,de,de,schlecht,gut,"""gut""的反义词是""",schlecht,4605,4605,4605,4605,5.03125,5.03125,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,desc,zh,de,de,en,bad,gut,"""gut""的反义词是""",schlecht,4605,4605,4,4,15.3125,15.3125,0.0,10.28125,10.28125,0.0,2.0
qwen3-4b,0,desc,desc,zh,de,de,es,malo,gut,"""gut""的反义词是""",schlecht,4605,4605,33,33,12.875,12.875,0.0,7.84375,7.84375,0.0,2.0
qwen3-4b,0,desc,desc,zh,de,de,fr,mauvais,gut,"""gut""的反义词是""",schlecht,4605,4605,1050,1050,7.8125,7.8125,0.0,2.78125,2.78125,0.0,2.0
qwen3-4b,0,desc,desc,zh,de,de,ja,悪い,gut,"""gut""的反义词是""",schlecht,4605,4605,7813,7813,3.953125,3.953125,0.0,-1.078125,-1.078125,0.0,2.0
qwen3-4b,0,desc,desc,zh,de,de,ko,나쁜,gut,"""gut""的反义词是""",schlecht,4605,4605,14835,14835,2.609375,2.609375,0.0,-2.421875,-2.421875,0.0,2.0
qwen3-4b,0,desc,desc,zh,de,de,zh,坏,gut,"""gut""的反义词是""",schlecht,4605,4605,3839,3839,5.4375,5.4375,0.0,0.40625,0.40625,0.0,2.0
qwen3-4b,0,desc,val,zh,de,de,de,schlecht,gut,"""gut""的反义词是""",schlecht,4605,4426,4605,4426,5.03125,7.84375,2.8125,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,val,zh,de,de,en,bad,gut,"""gut""的反义词是""",schlecht,4605,4426,4,24,15.3125,12.9375,-2.375,10.28125,5.09375,-5.1875,2.0
qwen3-4b,0,desc,val,zh,de,de,es,malo,gut,"""gut""的反义词是""",schlecht,4605,4426,33,36,12.875,12.6875,-0.1875,7.84375,4.84375,-3.0,2.0
qwen3-4b,0,desc,val,zh,de,de,fr,mauvais,gut,"""gut""的反义词是""",schlecht,4605,4426,1050,474,7.8125,10.125,2.3125,2.78125,2.28125,-0.5,2.0
qwen3-4b,0,desc,val,zh,de,de,ja,悪い,gut,"""gut""的反义词是""",schlecht,4605,4426,7813,11561,3.953125,6.6875,2.734375,-1.078125,-1.15625,-0.078125,2.0
qwen3-4b,0,desc,val,zh,de,de,ko,나쁜,gut,"""gut""的反义词是""",schlecht,4605,4426,14835,95612,2.609375,2.953125,0.34375,-2.421875,-4.890625,-2.46875,2.0
qwen3-4b,0,desc,val,zh,de,de,zh,坏,gut,"""gut""的反义词是""",schlecht,4605,4426,3839,3705,5.4375,8.0625,2.625,0.40625,0.21875,-0.1875,2.0
qwen3-4b,0,desc,freq,zh,de,de,de,schlecht,gut,"""gut""的反义词是""",schlecht,4605,141,4605,141,5.03125,9.375,4.34375,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,freq,zh,de,de,en,bad,gut,"""gut""的反义词是""",schlecht,4605,141,4,41,15.3125,10.6875,-4.625,10.28125,1.3125,-8.96875,2.0
qwen3-4b,0,desc,freq,zh,de,de,es,malo,gut,"""gut""的反义词是""",schlecht,4605,141,33,15,12.875,11.8125,-1.0625,7.84375,2.4375,-5.40625,2.0
qwen3-4b,0,desc,freq,zh,de,de,fr,mauvais,gut,"""gut""的反义词是""",schlecht,4605,141,1050,49,7.8125,10.5625,2.75,2.78125,1.1875,-1.59375,2.0
qwen3-4b,0,desc,freq,zh,de,de,ja,悪い,gut,"""gut""的反义词是""",schlecht,4605,141,7813,5953,3.953125,4.21875,0.265625,-1.078125,-5.15625,-4.078125,2.0
