model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,adjective,prompt,tracked_target,baseline_adj_rank,combined_adj_rank,baseline_target_logit,combined_target_logit,delta_combined_logit
gemma-2-2b,0,desc,desc,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,6,22.0,21.25,-0.75
gemma-2-2b,0,desc,val,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,11,22.0,19.75,-2.25
gemma-2-2b,0,desc,freq,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,5,22.0,20.25,-1.75
gemma-2-2b,0,val,desc,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,0,22.0,23.5,1.5
gemma-2-2b,0,val,val,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,8,22.0,22.0,0.0
gemma-2-2b,0,val,freq,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,1,22.0,21.875,-0.125
gemma-2-2b,0,freq,desc,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,10,22.0,21.125,-0.875
gemma-2-2b,0,freq,val,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,9,22.0,20.0,-2.0
gemma-2-2b,0,freq,freq,fr,de,gut,"Le contraire de ""gut"" est """,schlecht,1,10,22.0,21.25,-0.75
gemma-2-2b,1,desc,desc,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,10,19.625,19.5,-0.125
gemma-2-2b,1,desc,val,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,10,19.625,18.0,-1.625
gemma-2-2b,1,desc,freq,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,7,19.625,17.5,-2.125
gemma-2-2b,1,val,desc,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,8,19.625,19.25,-0.375
gemma-2-2b,1,val,val,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,5,19.625,20.75,1.125
gemma-2-2b,1,val,freq,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,17,19.625,17.375,-2.25
gemma-2-2b,1,freq,desc,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,13,19.625,19.875,0.25
gemma-2-2b,1,freq,val,fr,de,glücklich,"Le contraire de ""glücklich"" est """,unglücklich,1,20,19.625,18.25,-1.375
