model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,adjective,prompt,tracked_target,baseline_adj_rank,combined_adj_rank,baseline_target_logit,combined_target_logit,delta_combined_logit
gemma-2-2b,0,desc,desc,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1477,16.625,16.625,0.0
gemma-2-2b,0,desc,val,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1748,16.625,13.9375,-2.6875
gemma-2-2b,0,desc,freq,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1106,16.625,14.875,-1.75
gemma-2-2b,0,val,desc,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,108,16.625,19.875,3.25
gemma-2-2b,0,val,val,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1590,16.625,16.25,-0.375
gemma-2-2b,0,val,freq,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,74,16.625,18.875,2.25
gemma-2-2b,0,freq,desc,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1661,16.625,16.125,-0.5
gemma-2-2b,0,freq,val,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1431,16.625,13.875,-2.75
gemma-2-2b,0,freq,freq,en,de,gut,"The opposite of ""gut"" is """,schlecht,1477,1655,16.625,16.125,-0.5
gemma-2-2b,1,desc,desc,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,5,18.75,20.25,1.5
gemma-2-2b,1,desc,val,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,6,18.75,18.875,0.125
gemma-2-2b,1,desc,freq,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,6,18.75,17.5,-1.25
gemma-2-2b,1,val,desc,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,9,18.75,19.25,0.5
gemma-2-2b,1,val,val,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,4,18.75,20.875,2.125
gemma-2-2b,1,val,freq,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,12,18.75,17.0,-1.75
gemma-2-2b,1,freq,desc,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,8,18.75,20.75,2.0
gemma-2-2b,1,freq,val,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,8,18.75,19.125,0.375
gemma-2-2b,1,freq,freq,en,de,glücklich,"The opposite of ""glücklich"" is """,unglücklich,1,8,18.75,20.375,1.625
gemma-2-2b,2,desc,desc,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,21.625,0.625
gemma-2-2b,2,desc,val,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,20.875,-0.125
gemma-2-2b,2,desc,freq,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,16.25,-4.75
gemma-2-2b,2,val,desc,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,21.75,0.75
gemma-2-2b,2,val,val,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,22.625,1.625
gemma-2-2b,2,val,freq,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,18.625,-2.375
gemma-2-2b,2,freq,desc,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,21.0,0.0
gemma-2-2b,2,freq,val,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,21.25,0.25
gemma-2-2b,2,freq,freq,en,de,groß,"The opposite of ""groß"" is """,klein,0,0,21.0,21.375,0.375
gemma-2-2b,3,desc,desc,en,de,heiß,"The opposite of ""heiß"" is """,kalt,0,1,18.375,20.0,1.625
gemma-2-2b,3,desc,val,en,de,heiß,"The opposite of ""heiß"" is """,kalt,0,2,18.375,17.875,-0.5
gemma-2-2b,3,desc,freq,en,de,heiß,"The opposite of ""heiß"" is """,kalt,0,1,18.375,15.8125,-2.5625
gemma-2-2b,3,val,desc,en,de,heiß,"The opposite of ""heiß"" is """,kalt,0,0,18.375,20.25,1.875
