model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
gemma-2-2b,0,desc,desc,fr,ko,de,de,schlecht,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,3878,3878,2.515625,2.515625,0.0,-12.484375,-12.484375,0.0,2.0
gemma-2-2b,0,desc,desc,fr,ko,de,en,bad,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,29,29,10.6875,10.6875,0.0,-4.3125,-4.3125,0.0,2.0
gemma-2-2b,0,desc,desc,fr,ko,de,es,malo,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,270,270,6.8125,6.8125,0.0,-8.1875,-8.1875,0.0,2.0
gemma-2-2b,0,desc,desc,fr,ko,de,fr,mauvais,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,595,595,5.53125,5.53125,0.0,-9.46875,-9.46875,0.0,2.0
gemma-2-2b,0,desc,desc,fr,ko,de,ja,悪い,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,391,391,6.28125,6.28125,0.0,-8.71875,-8.71875,0.0,2.0
gemma-2-2b,0,desc,desc,fr,ko,de,ko,나쁜,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,0,0,15.0,15.0,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,fr,ko,de,zh,坏,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,68,68,9.1875,9.1875,0.0,-5.8125,-5.8125,0.0,2.0
gemma-2-2b,0,desc,val,fr,ko,de,de,schlecht,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,3878,8566,2.515625,0.8203125,-1.6953125,-12.484375,-12.4296875,0.0546875,2.0
gemma-2-2b,0,desc,val,fr,ko,de,en,bad,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,29,12,10.6875,9.875,-0.8125,-4.3125,-3.375,0.9375,2.0
gemma-2-2b,0,desc,val,fr,ko,de,es,malo,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,270,267,6.8125,5.875,-0.9375,-8.1875,-7.375,0.8125,2.0
gemma-2-2b,0,desc,val,fr,ko,de,fr,mauvais,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,595,434,5.53125,5.25,-0.28125,-9.46875,-8.0,1.46875,2.0
gemma-2-2b,0,desc,val,fr,ko,de,ja,悪い,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,391,511,6.28125,5.0,-1.28125,-8.71875,-8.25,0.46875,2.0
gemma-2-2b,0,desc,val,fr,ko,de,ko,나쁜,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,0,0,15.0,13.25,-1.75,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,val,fr,ko,de,zh,坏,좋은,"Le contraire de ""좋은"" est """,나쁜,0,0,68,75,9.1875,7.6875,-1.5,-5.8125,-5.5625,0.25,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,de,schlecht,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,3878,15202,2.515625,-1.6015625,-4.1171875,-12.484375,-12.7890625,-0.3046875,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,en,bad,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,29,51,10.6875,7.90625,-2.78125,-4.3125,-3.28125,1.03125,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,es,malo,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,270,1899,6.8125,2.515625,-4.296875,-8.1875,-8.671875,-0.484375,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,fr,mauvais,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,595,122,5.53125,6.8125,1.28125,-9.46875,-4.375,5.09375,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,ja,悪い,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,391,4746,6.28125,0.84375,-5.4375,-8.71875,-10.34375,-1.625,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,ko,나쁜,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,0,4,15.0,11.1875,-3.8125,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,freq,fr,ko,de,zh,坏,좋은,"Le contraire de ""좋은"" est """,나쁜,0,4,68,1812,9.1875,2.59375,-6.59375,-5.8125,-8.59375,-2.78125,2.0
gemma-2-2b,0,val,desc,fr,ko,de,de,schlecht,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,3878,3,2.515625,14.875,12.359375,-12.484375,0.375,12.859375,2.0
gemma-2-2b,0,val,desc,fr,ko,de,en,bad,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,29,1201,10.6875,7.46875,-3.21875,-4.3125,-7.03125,-2.71875,2.0
gemma-2-2b,0,val,desc,fr,ko,de,es,malo,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,270,70241,6.8125,-0.70703125,-7.51953125,-8.1875,-15.20703125,-7.01953125,2.0
gemma-2-2b,0,val,desc,fr,ko,de,fr,mauvais,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,595,9578,5.53125,4.03125,-1.5,-9.46875,-10.46875,-1.0,2.0
gemma-2-2b,0,val,desc,fr,ko,de,ja,悪い,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,391,3193,6.28125,5.9375,-0.34375,-8.71875,-8.5625,0.15625,2.0
gemma-2-2b,0,val,desc,fr,ko,de,ko,나쁜,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,0,6,15.0,14.5,-0.5,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,desc,fr,ko,de,zh,坏,좋은,"Le contraire de ""좋은"" est """,나쁜,0,6,68,240,9.1875,9.75,0.5625,-5.8125,-4.75,1.0625,2.0
