model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
gemma-2-2b,0,desc,desc,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,1924,1924,4.875,4.875,0.0,-11.0625,-11.0625,0.0,2.0
gemma-2-2b,0,desc,desc,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,20,20,12.5625,12.5625,0.0,-3.375,-3.375,0.0,2.0
gemma-2-2b,0,desc,desc,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,182,182,8.8125,8.8125,0.0,-7.125,-7.125,0.0,2.0
gemma-2-2b,0,desc,desc,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,848,848,6.21875,6.21875,0.0,-9.71875,-9.71875,0.0,2.0
gemma-2-2b,0,desc,desc,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,417,417,7.40625,7.40625,0.0,-8.53125,-8.53125,0.0,2.0
gemma-2-2b,0,desc,desc,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,0,0,15.9375,15.9375,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,63,63,10.625,10.625,0.0,-5.3125,-5.3125,0.0,2.0
gemma-2-2b,0,desc,val,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,1924,4986,4.875,2.4375,-2.4375,-11.0625,-11.4375,-0.375,2.0
gemma-2-2b,0,desc,val,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,20,11,12.5625,11.25,-1.3125,-3.375,-2.625,0.75,2.0
gemma-2-2b,0,desc,val,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,182,175,8.8125,7.09375,-1.71875,-7.125,-6.78125,0.34375,2.0
gemma-2-2b,0,desc,val,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,848,623,6.21875,5.40625,-0.8125,-9.71875,-8.46875,1.25,2.0
gemma-2-2b,0,desc,val,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,417,497,7.40625,5.6875,-1.71875,-8.53125,-8.1875,0.34375,2.0
gemma-2-2b,0,desc,val,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,0,0,15.9375,13.875,-2.0625,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,val,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,63,64,10.625,8.5625,-2.0625,-5.3125,-5.3125,0.0,2.0
gemma-2-2b,0,desc,freq,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,1924,10842,4.875,0.216796875,-4.658203125,-11.0625,-11.908203125,-0.845703125,2.0
gemma-2-2b,0,desc,freq,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,20,26,12.5625,9.4375,-3.125,-3.375,-2.6875,0.6875,2.0
gemma-2-2b,0,desc,freq,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,182,1375,8.8125,4.09375,-4.71875,-7.125,-8.03125,-0.90625,2.0
gemma-2-2b,0,desc,freq,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,848,146,6.21875,7.40625,1.1875,-9.71875,-4.71875,5.0,2.0
gemma-2-2b,0,desc,freq,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,417,4364,7.40625,2.046875,-5.359375,-8.53125,-10.078125,-1.546875,2.0
gemma-2-2b,0,desc,freq,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,0,3,15.9375,12.125,-3.8125,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,freq,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,3,63,1641,10.625,3.8125,-6.8125,-5.3125,-8.3125,-3.0,2.0
gemma-2-2b,0,val,desc,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,1924,1,4.875,15.5625,10.6875,-11.0625,0.6875,11.75,2.0
gemma-2-2b,0,val,desc,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,20,839,12.5625,8.5625,-4.0,-3.375,-6.3125,-2.9375,2.0
gemma-2-2b,0,val,desc,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,182,61273,8.8125,0.4609375,-8.3515625,-7.125,-14.4140625,-7.2890625,2.0
gemma-2-2b,0,val,desc,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,848,14600,6.21875,3.875,-2.34375,-9.71875,-11.0,-1.28125,2.0
gemma-2-2b,0,val,desc,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,417,3426,7.40625,6.46875,-0.9375,-8.53125,-8.40625,0.125,2.0
gemma-2-2b,0,val,desc,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,0,7,15.9375,14.875,-1.0625,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,desc,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,7,63,190,10.625,10.625,0.0,-5.3125,-4.25,1.0625,2.0
gemma-2-2b,0,val,val,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,1924,1692,4.875,7.03125,2.15625,-11.0625,-9.96875,1.09375,2.0
gemma-2-2b,0,val,val,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,20,6,12.5625,15.125,2.5625,-3.375,-1.875,1.5,2.0
gemma-2-2b,0,val,val,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,182,152,8.8125,10.75,1.9375,-7.125,-6.25,0.875,2.0
gemma-2-2b,0,val,val,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,848,554,6.21875,8.8125,2.59375,-9.71875,-8.1875,1.53125,2.0
gemma-2-2b,0,val,val,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,417,483,7.40625,9.0,1.59375,-8.53125,-8.0,0.53125,2.0
gemma-2-2b,0,val,val,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,0,0,15.9375,17.0,1.0625,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,val,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,63,76,10.625,12.125,1.5,-5.3125,-4.875,0.4375,2.0
gemma-2-2b,0,val,freq,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,1924,138,4.875,8.1875,3.3125,-11.0625,-2.5,8.5625,2.0
gemma-2-2b,0,val,freq,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,20,56,12.5625,9.375,-3.1875,-3.375,-1.3125,2.0625,2.0
gemma-2-2b,0,val,freq,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,182,31588,8.8125,-1.515625,-10.328125,-7.125,-12.203125,-5.078125,2.0
gemma-2-2b,0,val,freq,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,848,1356,6.21875,4.96875,-1.25,-9.71875,-5.71875,4.0,2.0
gemma-2-2b,0,val,freq,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,417,9426,7.40625,1.3984375,-6.0078125,-8.53125,-9.2890625,-0.7578125,2.0
gemma-2-2b,0,val,freq,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,0,22,15.9375,10.6875,-5.25,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,freq,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,22,63,620,10.625,6.15625,-4.46875,-5.3125,-4.53125,0.78125,2.0
gemma-2-2b,0,freq,desc,es,ko,de,de,schlecht,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,1924,1556,4.875,4.34375,-0.53125,-11.0625,-11.21875,-0.15625,2.0
gemma-2-2b,0,freq,desc,es,ko,de,en,bad,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,20,4,12.5625,12.8125,0.25,-3.375,-2.75,0.625,2.0
gemma-2-2b,0,freq,desc,es,ko,de,es,malo,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,182,143,8.8125,8.125,-0.6875,-7.125,-7.4375,-0.3125,2.0
gemma-2-2b,0,freq,desc,es,ko,de,fr,mauvais,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,848,565,6.21875,5.96875,-0.25,-9.71875,-9.59375,0.125,2.0
gemma-2-2b,0,freq,desc,es,ko,de,ja,悪い,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,417,860,7.40625,5.3125,-2.09375,-8.53125,-10.25,-1.71875,2.0
gemma-2-2b,0,freq,desc,es,ko,de,ko,나쁜,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,0,0,15.9375,15.5625,-0.375,0.0,0.0,0.0,2.0
gemma-2-2b,0,freq,desc,es,ko,de,zh,坏,좋은,"Lo opuesto de ""좋은"" es """,나쁜,0,0,63,72,10.625,9.4375,-1.1875,-5.3125,-6.125,-0.8125,2.0
