model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,adjective,prompt,tracked_target,baseline_adj_rank,combined_adj_rank,baseline_target_logit,combined_target_logit,delta_combined_logit
gemma-2-2b,0,desc,desc,ja,de,gut,「gut」の反対は「,schlecht,373,373,15.5625,15.5625,0.0
gemma-2-2b,0,desc,val,ja,de,gut,「gut」の反対は「,schlecht,373,524,15.5625,14.125,-1.4375
gemma-2-2b,0,desc,freq,ja,de,gut,「gut」の反対は「,schlecht,373,151,15.5625,14.9375,-0.625
gemma-2-2b,0,val,desc,ja,de,gut,「gut」の反対は「,schlecht,373,8,15.5625,19.75,4.1875
gemma-2-2b,0,val,val,ja,de,gut,「gut」の反対は「,schlecht,373,512,15.5625,16.5,0.9375
gemma-2-2b,0,val,freq,ja,de,gut,「gut」の反対は「,schlecht,373,2,15.5625,20.25,4.6875
gemma-2-2b,0,freq,desc,ja,de,gut,「gut」の反対は「,schlecht,373,503,15.5625,15.5,-0.0625
gemma-2-2b,0,freq,val,ja,de,gut,「gut」の反対は「,schlecht,373,643,15.5625,13.625,-1.9375
gemma-2-2b,0,freq,freq,ja,de,gut,「gut」の反対は「,schlecht,373,469,15.5625,15.5625,0.0
gemma-2-2b,1,desc,desc,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,63,15.125,13.625,-1.5
gemma-2-2b,1,desc,val,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,81,15.125,12.4375,-2.6875
gemma-2-2b,1,desc,freq,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,95,15.125,12.75,-2.375
gemma-2-2b,1,val,desc,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,3,15.125,17.125,2.0
gemma-2-2b,1,val,val,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,46,15.125,15.0,-0.125
gemma-2-2b,1,val,freq,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,16,15.125,16.125,1.0
gemma-2-2b,1,freq,desc,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,64,15.125,13.75,-1.375
gemma-2-2b,1,freq,val,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,117,15.125,11.5625,-3.5625
gemma-2-2b,1,freq,freq,ja,de,glücklich,「glücklich」の反対は「,unglücklich,5,94,15.125,13.3125,-1.8125
gemma-2-2b,2,desc,desc,ja,de,groß,「groß」の反対は「,klein,0,0,22.375,21.125,-1.25
gemma-2-2b,2,desc,val,ja,de,groß,「groß」の反対は「,klein,0,0,22.375,20.125,-2.25
gemma-2-2b,2,desc,freq,ja,de,groß,「groß」の反対は「,klein,0,0,22.375,18.75,-3.625
gemma-2-2b,2,val,desc,ja,de,groß,「groß」の反対は「,klein,0,0,22.375,22.5,0.125
gemma-2-2b,2,val,val,ja,de,groß,「groß」の反対は「,klein,0,0,22.375,22.5,0.125
gemma-2-2b,2,val,freq,ja,de,groß,「groß」の反対は「,klein,0,0,22.375,19.875,-2.5
gemma-2-2b,2,freq,desc,ja,de,groß,「groß」の反対は「,klein,0,1,22.375,21.0,-1.375
gemma-2-2b,2,freq,val,ja,de,groß,「groß」の反対は「,klein,0,1,22.375,20.0,-2.375
gemma-2-2b,2,freq,freq,ja,de,groß,「groß」の反対は「,klein,0,1,22.375,21.125,-1.25
gemma-2-2b,3,desc,desc,ja,de,heiß,「heiß」の反対は「,kalt,0,2,19.125,17.5,-1.625
gemma-2-2b,3,desc,val,ja,de,heiß,「heiß」の反対は「,kalt,0,9,19.125,15.25,-3.875
gemma-2-2b,3,desc,freq,ja,de,heiß,「heiß」の反対は「,kalt,0,4,19.125,15.25,-3.875
gemma-2-2b,3,val,desc,ja,de,heiß,「heiß」の反対は「,kalt,0,1,19.125,19.75,0.625
gemma-2-2b,3,val,val,ja,de,heiß,「heiß」の反対は「,kalt,0,2,19.125,19.25,0.125
gemma-2-2b,3,val,freq,ja,de,heiß,「heiß」の反対は「,kalt,0,1,19.125,17.875,-1.25
gemma-2-2b,3,freq,desc,ja,de,heiß,「heiß」の反対は「,kalt,0,2,19.125,17.75,-1.375
gemma-2-2b,3,freq,val,ja,de,heiß,「heiß」の反対は「,kalt,0,2,19.125,16.125,-3.0
gemma-2-2b,3,freq,freq,ja,de,heiß,「heiß」の反対は「,kalt,0,2,19.125,17.75,-1.375
gemma-2-2b,4,desc,desc,ja,de,schnell,「schnell」の反対は「,langsam,1,11,21.375,18.25,-3.125
gemma-2-2b,4,desc,val,ja,de,schnell,「schnell」の反対は「,langsam,1,15,21.375,16.75,-4.625
gemma-2-2b,4,desc,freq,ja,de,schnell,「schnell」の反対は「,langsam,1,2,21.375,19.125,-2.25
gemma-2-2b,4,val,desc,ja,de,schnell,「schnell」の反対は「,langsam,1,1,21.375,21.5,0.125
gemma-2-2b,4,val,val,ja,de,schnell,「schnell」の反対は「,langsam,1,6,21.375,20.0,-1.375
gemma-2-2b,4,val,freq,ja,de,schnell,「schnell」の反対は「,langsam,1,0,21.375,20.625,-0.75
gemma-2-2b,4,freq,desc,ja,de,schnell,「schnell」の反対は「,langsam,1,22,21.375,17.75,-3.625
gemma-2-2b,4,freq,val,ja,de,schnell,「schnell」の反対は「,langsam,1,25,21.375,16.125,-5.25
gemma-2-2b,4,freq,freq,ja,de,schnell,「schnell」の反対は「,langsam,1,22,21.375,17.75,-3.625
gemma-2-2b,5,desc,desc,ja,de,leicht,「leicht」の反対は「,schwer,362,2213,9.875,7.90625,-1.96875
gemma-2-2b,5,desc,val,ja,de,leicht,「leicht」の反対は「,schwer,362,3416,9.875,6.03125,-3.84375
gemma-2-2b,5,desc,freq,ja,de,leicht,「leicht」の反対は「,schwer,362,582,9.875,9.0625,-0.8125
gemma-2-2b,5,val,desc,ja,de,leicht,「leicht」の反対は「,schwer,362,14,9.875,16.125,6.25
gemma-2-2b,5,val,val,ja,de,leicht,「leicht」の反対は「,schwer,362,2694,9.875,8.8125,-1.0625
gemma-2-2b,5,val,freq,ja,de,leicht,「leicht」の反対は「,schwer,362,6,9.875,16.125,6.25
gemma-2-2b,5,freq,desc,ja,de,leicht,「leicht」の反対は「,schwer,362,2172,9.875,8.0,-1.875
gemma-2-2b,5,freq,val,ja,de,leicht,「leicht」の反対は「,schwer,362,3957,9.875,5.28125,-4.59375
gemma-2-2b,5,freq,freq,ja,de,leicht,「leicht」の反対は「,schwer,362,2637,9.875,7.75,-2.125
gemma-2-2b,6,desc,desc,ja,de,einfach,「einfach」の反対は「,schwierig,31,781,15.5,12.5,-3.0
gemma-2-2b,6,desc,val,ja,de,einfach,「einfach」の反対は「,schwierig,31,1195,15.5,10.9375,-4.5625
gemma-2-2b,6,desc,freq,ja,de,einfach,「einfach」の反対は「,schwierig,31,203,15.5,14.0625,-1.4375
gemma-2-2b,6,val,desc,ja,de,einfach,「einfach」の反対は「,schwierig,31,4,15.5,19.25,3.75
gemma-2-2b,6,val,val,ja,de,einfach,「einfach」の反対は「,schwierig,31,861,15.5,13.625,-1.875
gemma-2-2b,6,val,freq,ja,de,einfach,「einfach」の反対は「,schwierig,31,4,15.5,18.75,3.25
gemma-2-2b,6,freq,desc,ja,de,einfach,「einfach」の反対は「,schwierig,31,983,15.5,12.4375,-3.0625
gemma-2-2b,6,freq,val,ja,de,einfach,「einfach」の反対は「,schwierig,31,1497,15.5,10.375,-5.125
gemma-2-2b,6,freq,freq,ja,de,einfach,「einfach」の反対は「,schwierig,31,1094,15.5,12.375,-3.125
gemma-2-2b,7,desc,desc,ja,de,neu,「neu」の反対は「,alt,112,112,18.125,18.125,0.0
gemma-2-2b,7,desc,val,ja,de,neu,「neu」の反対は「,alt,112,85,18.125,17.5,-0.625
gemma-2-2b,7,desc,freq,ja,de,neu,「neu」の反対は「,alt,112,134,18.125,16.75,-1.375
gemma-2-2b,7,val,desc,ja,de,neu,「neu」の反対は「,alt,112,74,18.125,19.75,1.625
gemma-2-2b,7,val,val,ja,de,neu,「neu」の反対は「,alt,112,146,18.125,19.0,0.875
gemma-2-2b,7,val,freq,ja,de,neu,「neu」の反対は「,alt,112,259,18.125,16.5,-1.625
gemma-2-2b,7,freq,desc,ja,de,neu,「neu」の反対は「,alt,112,185,18.125,17.75,-0.375
gemma-2-2b,7,freq,val,ja,de,neu,「neu」の反対は「,alt,112,183,18.125,16.375,-1.75
gemma-2-2b,7,freq,freq,ja,de,neu,「neu」の反対は「,alt,112,159,18.125,17.875,-0.25
gemma-2-2b,8,desc,desc,ja,de,wahr,「wahr」の反対は「,unwahr,0,3,22.375,20.5,-1.875
gemma-2-2b,8,desc,val,ja,de,wahr,「wahr」の反対は「,unwahr,0,3,22.375,19.625,-2.75
gemma-2-2b,8,desc,freq,ja,de,wahr,「wahr」の反対は「,unwahr,0,0,22.375,17.125,-5.25
gemma-2-2b,8,val,desc,ja,de,wahr,「wahr」の反対は「,unwahr,0,0,22.375,21.375,-1.0
gemma-2-2b,8,val,val,ja,de,wahr,「wahr」の反対は「,unwahr,0,0,22.375,21.625,-0.75
gemma-2-2b,8,val,freq,ja,de,wahr,「wahr」の反対は「,unwahr,0,1,22.375,17.75,-4.625
gemma-2-2b,8,freq,desc,ja,de,wahr,「wahr」の反対は「,unwahr,0,3,22.375,21.25,-1.125
gemma-2-2b,8,freq,val,ja,de,wahr,「wahr」の反対は「,unwahr,0,3,22.375,19.625,-2.75
gemma-2-2b,8,freq,freq,ja,de,wahr,「wahr」の反対は「,unwahr,0,3,22.375,21.0,-1.375
gemma-2-2b,9,desc,desc,ja,de,lebendig,「lebendig」の反対は「,tot,106,2468,13.75,10.1875,-3.5625
gemma-2-2b,9,desc,val,ja,de,lebendig,「lebendig」の反対は「,tot,106,2110,13.75,9.375,-4.375
gemma-2-2b,9,desc,freq,ja,de,lebendig,「lebendig」の反対は「,tot,106,18061,13.75,6.96875,-6.78125
gemma-2-2b,9,val,desc,ja,de,lebendig,「lebendig」の反対は「,tot,106,125,13.75,16.125,2.375
gemma-2-2b,9,val,val,ja,de,lebendig,「lebendig」の反対は「,tot,106,2552,13.75,11.5,-2.25
gemma-2-2b,9,val,freq,ja,de,lebendig,「lebendig」の反対は「,tot,106,3000,13.75,10.9375,-2.8125
gemma-2-2b,9,freq,desc,ja,de,lebendig,「lebendig」の反対は「,tot,106,8865,13.75,8.4375,-5.3125
gemma-2-2b,9,freq,val,ja,de,lebendig,「lebendig」の反対は「,tot,106,11423,13.75,6.125,-7.625
gemma-2-2b,9,freq,freq,ja,de,lebendig,「lebendig」の反対は「,tot,106,9808,13.75,8.0625,-5.6875
gemma-2-2b,10,desc,desc,ja,de,voll,「voll」の反対は「,leer,8,30,18.125,17.125,-1.0
gemma-2-2b,10,desc,val,ja,de,voll,「voll」の反対は「,leer,8,12,18.125,17.125,-1.0
gemma-2-2b,10,desc,freq,ja,de,voll,「voll」の反対は「,leer,8,88,18.125,15.375,-2.75
gemma-2-2b,10,val,desc,ja,de,voll,「voll」の反対は「,leer,8,3,18.125,20.875,2.75
gemma-2-2b,10,val,val,ja,de,voll,「voll」の反対は「,leer,8,14,18.125,19.375,1.25
gemma-2-2b,10,val,freq,ja,de,voll,「voll」の反対は「,leer,8,38,18.125,17.5,-0.625
gemma-2-2b,10,freq,desc,ja,de,voll,「voll」の反対は「,leer,8,63,18.125,16.75,-1.375
gemma-2-2b,10,freq,val,ja,de,voll,「voll」の反対は「,leer,8,45,18.125,16.125,-2.0
gemma-2-2b,10,freq,freq,ja,de,voll,「voll」の反対は「,leer,8,75,18.125,16.625,-1.5
gemma-2-2b,11,desc,desc,ja,de,hell,「hell」の反対は「,dunkel,58249,58249,3.375,3.375,0.0
gemma-2-2b,11,desc,val,ja,de,hell,「hell」の反対は「,dunkel,58249,35885,3.375,3.4375,0.0625
gemma-2-2b,11,desc,freq,ja,de,hell,「hell」の反対は「,dunkel,58249,69242,3.375,1.1640625,-2.2109375
gemma-2-2b,11,val,desc,ja,de,hell,「hell」の反対は「,dunkel,58249,13556,3.375,8.0,4.625
gemma-2-2b,11,val,val,ja,de,hell,「hell」の反対は「,dunkel,58249,35793,3.375,5.53125,2.15625
gemma-2-2b,11,val,freq,ja,de,hell,「hell」の反対は「,dunkel,58249,44483,3.375,3.671875,0.296875
gemma-2-2b,11,freq,desc,ja,de,hell,「hell」の反対は「,dunkel,58249,69485,3.375,2.875,-0.5
