model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
qwen3-4b,0,desc,desc,en,es,de,de,schlecht,bueno,"The opposite of ""bueno"" is """,malo,0,0,3764,3786,4.125,4.125,0.0,-22.375,-22.375,0.0,2.0
qwen3-4b,0,desc,desc,en,es,de,en,bad,bueno,"The opposite of ""bueno"" is """,malo,0,0,19,19,14.0625,14.0625,0.0,-12.4375,-12.4375,0.0,2.0
qwen3-4b,0,desc,desc,en,es,de,es,malo,bueno,"The opposite of ""bueno"" is """,malo,0,0,0,0,26.5,26.5,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,desc,en,es,de,fr,mauvais,bueno,"The opposite of ""bueno"" is """,malo,0,0,6,6,16.0,16.0,0.0,-10.5,-10.5,0.0,2.0
qwen3-4b,0,desc,desc,en,es,de,ja,悪い,bueno,"The opposite of ""bueno"" is """,malo,0,0,526,508,7.9375,8.0,0.0625,-18.5625,-18.5,0.0625,2.0
qwen3-4b,0,desc,desc,en,es,de,ko,나쁜,bueno,"The opposite of ""bueno"" is """,malo,0,0,9688,9563,2.15625,2.1875,0.03125,-24.34375,-24.3125,0.03125,2.0
qwen3-4b,0,desc,desc,en,es,de,zh,坏,bueno,"The opposite of ""bueno"" is """,malo,0,0,2990,2896,4.625,4.6875,0.0625,-21.875,-21.8125,0.0625,2.0
qwen3-4b,0,desc,val,en,es,de,de,schlecht,bueno,"The opposite of ""bueno"" is """,malo,0,3,3764,1407,4.125,8.875,4.75,-22.375,-7.0625,15.3125,2.0
qwen3-4b,0,desc,val,en,es,de,en,bad,bueno,"The opposite of ""bueno"" is """,malo,0,3,19,1,14.0625,16.5,2.4375,-12.4375,0.5625,13.0,2.0
qwen3-4b,0,desc,val,en,es,de,es,malo,bueno,"The opposite of ""bueno"" is """,malo,0,3,0,3,26.5,15.9375,-10.5625,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,val,en,es,de,fr,mauvais,bueno,"The opposite of ""bueno"" is """,malo,0,3,6,112,16.0,11.875,-4.125,-10.5,-4.0625,6.4375,2.0
qwen3-4b,0,desc,val,en,es,de,ja,悪い,bueno,"The opposite of ""bueno"" is """,malo,0,3,526,61,7.9375,12.8125,4.875,-18.5625,-3.125,15.4375,2.0
qwen3-4b,0,desc,val,en,es,de,ko,나쁜,bueno,"The opposite of ""bueno"" is """,malo,0,3,9688,64758,2.15625,3.328125,1.171875,-24.34375,-12.609375,11.734375,2.0
qwen3-4b,0,desc,val,en,es,de,zh,坏,bueno,"The opposite of ""bueno"" is """,malo,0,3,2990,420,4.625,10.3125,5.6875,-21.875,-5.625,16.25,2.0
qwen3-4b,0,desc,freq,en,es,de,de,schlecht,bueno,"The opposite of ""bueno"" is """,malo,0,4,3764,0,4.125,19.875,15.75,-22.375,4.8125,27.1875,2.0
qwen3-4b,0,desc,freq,en,es,de,en,bad,bueno,"The opposite of ""bueno"" is """,malo,0,4,19,51,14.0625,12.0,-2.0625,-12.4375,-3.0625,9.375,2.0
qwen3-4b,0,desc,freq,en,es,de,es,malo,bueno,"The opposite of ""bueno"" is """,malo,0,4,0,4,26.5,15.0625,-11.4375,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,freq,en,es,de,fr,mauvais,bueno,"The opposite of ""bueno"" is """,malo,0,4,6,201,16.0,9.625,-6.375,-10.5,-5.4375,5.0625,2.0
qwen3-4b,0,desc,freq,en,es,de,ja,悪い,bueno,"The opposite of ""bueno"" is """,malo,0,4,526,569,7.9375,8.0625,0.125,-18.5625,-7.0,11.5625,2.0
qwen3-4b,0,desc,freq,en,es,de,ko,나쁜,bueno,"The opposite of ""bueno"" is """,malo,0,4,9688,8804,2.15625,3.140625,0.984375,-24.34375,-11.921875,12.421875,2.0
qwen3-4b,0,desc,freq,en,es,de,zh,坏,bueno,"The opposite of ""bueno"" is """,malo,0,4,2990,4697,4.625,4.375,-0.25,-21.875,-10.6875,11.1875,2.0
qwen3-4b,0,val,desc,en,es,de,de,schlecht,bueno,"The opposite of ""bueno"" is """,malo,0,0,3764,4390,4.125,2.015625,-2.109375,-22.375,-22.234375,0.140625,2.0
