lang,feature,annotation_match_count,description
zh,24.15163,983,Chinese characters related to dictionaries and language processing
ja,22.4400,965," Japanese text related to programming errors, particularly requests for help"
zh,23.13630,960, HTML-like code and certain Chinese words related to message sending
de,20.15832,936, sentences in German that uses modal verbs to describe realistic situations
fr,20.1454,934," words written in French, particularly conversational French used in online forums or chat"
fr,22.10566,928," French words and internet-related terms, and seems specific to chat or forum-type text."
es,22.15500,916," Spanish words and programming-related terms, especially those used together"
ja,24.15582,914, Japanese text and references to it
zh,22.11933,910, text and code snippets that occur in Chinese contexts
de,22.10921,903, text in German
zh,24.406,902," non-English characters, especially Chinese and Japanese"
ja,24.406,897," non-English characters, especially Chinese and Japanese"
es,21.7256,879,Spanish language programming questions in Javascript
fr,23.2592,788, French language and words related to treaties.
ja,21.9438,782," Japanese sentences expressing humility with ""思います"""
de,23.7105,781, German language text
fr,24.3772,738," snippets of conversation about software installation and configuration, and also finds french stopwords"
ja,24.3321,733, a mix of Japanese and words related to computer software
zh,24.4818,696,"XML tags, especially those related to including headers/footers, as well as Chinese language related to sending content"
es,24.13490,689," news casts, TV programs, and names of Spanish-speaking people in Panama"
ja,17.13839,682," words containing Japanese characters, particularly relating to reporting computer errors and asking for help"
ja,24.9590,649, Japanese words
zh,24.8105,593," Chinese words related to weather, and some English words related to dictionaries or compilation, and programming"
de,24.2089,571," sentences in German containing multiple verbs, especially modal verbs"
de,19.6380,553," German words, and especially modal verbs"
fr,24.2086,510," French text with a conversational tone and common words, especially related to computer use and troubleshooting"
de,25.5206,501," German sentences and grammar, particularly verb constructions and sentence structure."
de,23.5974,487," German language text, and specifically finds the word ""fände"""
zh,25.3889,458,"Chinese and code-related terms, possibly related to dictionary compilation or UTF encoding"
ja,25.11677,457, Japanese computing error messages
fr,17.10566,440,French short words
zh,25.2586,427, Chinese language related terms and code compilation
es,24.3602,421,Spanish words in a Javascript code tutorial
zh,24.10584,411, code snippets with file descriptions in Chinese
ja,23.11251,375, Japanese text expressing humility and a request for feedback in a technical context
es,24.3018,371, a mix of code snippets and spanish/portuguese words
zh,25.13194,362,"Chinese text related to dictionaries, code compilation, and programming"
ja,24.3939,354," Japanese text, especially related to programming and error messages"
zh,22.5475,348, Chinese characters related to dictionaries and character encoding
de,24.5178,345," sentences discussing verbs or sentence structure, especially in the German language"
zh,23.10329,345," mentions of locations in China, possibly focusing on ""Liushan""."
es,24.2024,343, Spanish words
de,21.5243,339, German language text.
ja,20.6840,335, Japanese programming error messages and apologies
ja,20.6380,312," Java-related error messages and associated contextual words, with a focus on Maven and build-related vocabulary, potentially in Japanese."
ja,25.15066,311, Japanese text and related context like a colon
de,22.10094,304, German sentences discussing modal verbs
zh,25.13332,293," Chinese place names with 山 in them, often followed by parentheses"
es,23.15086,291, words related to JavaScript and technical documentation in Spanish
ja,23.5452,290, Japanese text describing a coding problem for beginners
