description,total_annotation_match_count,num_features
 common english words and sentence structure,43,1
" snippets of code, math forumulae, and quoted speech, possibly prioritizing negative connotations",32,1
 what appears to be transliterated names or words from various languages/cultures as well as some medical terminology,29,1
 words or phrases within a block of text that seem to be from a non-English language.,27,1
" the word ""in"" in different contexts",23,1
words that are common in conversational English grammar despite having little content.,23,1
"text about cold weather, ice, and snow, including the dangers they pose for travel",19,1
" a variety of common English words such as ""I"", ""to"", and ""to"".",16,1
punctuation,16,1
" words related to mathematics, formal language, and the law",15,1
" words related to physical locations, facilities, and property",15,1
" words from multiple languages, including German, French, and English, related to situations, claims and states",14,1
scientific studies and findings,14,1
 the word 'to',13,1
" uses of the word ""you"" and the infinitive form of verbs",13,1
 a particular style of English grammar sentence structure.,12,1
" forms of the verb ""to go""",12,1
 references to geopolitical borders and relationships between locations,12,1
 references to history and knowledge,12,1
" the word ""to""",12,1
 words and phrases that describe comparison of quantity or quality,12,1
 words related to elevation,12,1
 language frequently appearing in court reports,11,1
 vocabulary related to scientific studies on plant growth,11,1
" a wide range of weak indicators for any topic with a slight preference for the word ""terms.""",10,1
 colloquial Black English in lyrics or speech.,10,1
" words pertaining to the English language, literature, and theater.",10,1
comma,10,1
common words in the English language,10,1
"technical words related to computers, medical conditions, and legal agreements/terminology",10,1
"text about crafting, specifically embroidery and sock monkeys",10,1
words and phrases used when attempting to explain something,10,1
words and punctuation indicating an important point being made,10,1
"words that commonly appear in technical documentation, descriptions of inventions, or software manuals.",10,1
" proper names and organization names, especially in technical or business contexts",9,1
" the word ""standard"" and surrounding medical terms",9,1
" words related to infrastructure, transportation, or legal expenses",9,1
 words related to walking through nature.,9,1
"text in languages other than English, and also the English preposition 'in'",9,1
words related to official reports and research,9,1
" a wide range of specific terms related to sports, technology, medical, legal, and business contexts.",8,1
 language related to legal proceedings and courts,8,1
" mentions of tech companies, especially Amazon and Apple, and tablets, devices, or applications associated with them.",8,1
" non-English characters, especially Chinese and Japanese",8,1
" words related to business, economics, and countries",8,1
 words relating to accomplishments or status,8,1
non-English text,8,1
 location descriptions and certain descriptive adjectives,7,1
" locations, particularly universities and cities, along with some associated companies and people",7,1
" opportunities, abilities, or permissions",7,1
 optical devices and related jargon,7,1
" times of day and abbreviations, particularly in business contexts",7,1
" verbs and prepositions related to increasing length, time, or scope",7,1
 words indicating official relationships between people or entities,7,1
"the conditional tense, using some form of the verb ""have"" after ""would"", ""could"", or ""should"".",7,1
" abbreviations, especially single or double letter abbreviations, or acronyms for organizations and procedures.",6,1
 marketing promotional text and product names.,6,1
 terms related to Facebook accounts written in a language other than English.,6,1
 words and phrases that are commonly used together in the english language.,6,1
" words associated with academic research, race relations, business, medical practice, and finance",6,1
"phrases about raising, lowering, or pulling something",6,1
" a variety of non-English words and also finds words that imply possibility like ""would"" and ""could""",5,1
" mentions of countries or communities. I tried to include modifiers like ""most"" as well, figuring that the neuron might also be looking for attributes of collectivities instead of just bare nouns",5,1
 noisy text. ,5,1
 phrases related to a wide range of specific industries,5,1
 place names,5,1
 references to time and temporality,5,1
" the word ""English"", sometimes in the context of education or language",5,1
"a mix of conversational english, conversational french and legal terminology.",5,1
"conditional statements, especially those including the word 'will', 'can', 'to', or 'it'",5,1
sentence ending punctuation. They may occur in quotes,5,1
