description,total_annotation_match_count,num_features
 German language text,1120,3
 text in German,1016,2
 sentences in German that uses modal verbs to describe realistic situations,936,1
" sentences in German containing multiple verbs, especially modal verbs",571,1
" German words, and especially modal verbs",553,1
" German sentences and grammar, particularly verb constructions and sentence structure.",501,1
" German language text, and specifically finds the word ""fände""",487,1
" sentences discussing verbs or sentence structure, especially in the German language",345,1
 German language text.,339,1
 German sentences discussing modal verbs,304,1
" German sentences involving multiple verbs, especially modal verbs",270,1
German words or words relating to German places and history along with contact and address-related terms,221,1
 German language,192,1
" German words related to writing a letter and discussing sentence structure, particularly verbs.",179,1
 various German language words and sentence fragments,175,1
sentences in German that use many verbs and involve writing a letter,167,1
" German words, especially verbs, related to rules, permissions, and personal experiences",157,1
 German sentences related to writing and grammar,153,1
" German sentences containing complex verb phrases with multiple modal verbs and ""Brief""",151,1
 sentences related to writing a letter in German,150,1
 references to German language and grammar,146,1
" German text with modal verbs, especially the word ""man"" and related sentence structure.",145,1
" German words, particularly those related to sentence structure and verbs.",145,1
"German words related to language, grammar and opinions",141,1
 German language text along with some modal verbs and auxiliary verbs,140,1
" German words and phrases related to writing and sentences, particularly verbs",139,1
" German sentences with modal verbs, particularly those expressing impossibility or necessity",136,1
 a mix of German language and lines of code,136,1
" German sentences discussing modal verbs, specifically multiple in a row",129,1
 German sentence fragments,126,1
 the German language,125,1
 German text related to opinions and situations,121,1
 lines containing German words,120,1
 German words and sentence structure,117,1
" German text containing multiple verbs in a row, often related to modal verbs.",112,1
" code snippets, math or number sequences, and a mix of German and Russian words",111,1
German words and phrases associated with hypothetical situations,111,1
 German articles and pronouns,110,1
 German sentences containing many verbs and modal verbs.,108,1
 German sentences related to writing letters,108,1
" sentences in German involving authority figures, honey, legal processes, and grammar",106,1
 German language related to laws and permissions,105,1
sentences written in German,105,1
 German language text along with some english words such as Kafka,104,1
 German words and phrases related to science and academia.,103,1
" German sentences containing verbs, especially ones with multiple verbs",102,1
 German words,102,1
" German language related to numbers and grammar, particularly articles and adjectives",101,1
 German sentences that discuss modal verbs and give examples of their usage,101,1
 German words and sentence fragments,101,1
 grammatically correct German sentences,100,1
 german words related to writing or sentences,96,1
 German modal verbs and related words.,95,1
 German text about writing or constructing sentences with multiple verbs,95,1
" German text that has the word ""habe"" (have)",95,1
 sentences in German that mention writing a letter,94,1
