feature,annotation_match_count,description
22.4400,965," Japanese text related to programming errors, particularly requests for help"
24.15582,914, Japanese text and references to it
24.406,897," non-English characters, especially Chinese and Japanese"
21.9438,782," Japanese sentences expressing humility with ""思います"""
24.3321,733, a mix of Japanese and words related to computer software
17.13839,682," words containing Japanese characters, particularly relating to reporting computer errors and asking for help"
24.9590,649, Japanese words
25.11677,457, Japanese computing error messages
23.11251,375, Japanese text expressing humility and a request for feedback in a technical context
24.3939,354," Japanese text, especially related to programming and error messages"
20.6840,335, Japanese programming error messages and apologies
20.6380,312," Java-related error messages and associated contextual words, with a focus on Maven and build-related vocabulary, potentially in Japanese."
25.15066,311, Japanese text and related context like a colon
23.5452,290, Japanese text describing a coding problem for beginners
16.11140,253, code-related terms and URLs in Japanese
24.6876,226," Japanese text and Java-related terms, especially those related to errors and project setup"
25.6429,226,Japanese language used in a software development context
25.11896,221, Japanese error messages about Java programs
19.730,220, words or phrases related to software development and documentation in both Japanese and English
16.7745,208, code snippets and Japanese characters.
25.7798,184, Japanese text mentioning errors or mistakes in a technical context.
20.13373,170, code related error messages with Japanese mixed in
24.9247,166," is finding Japanese text related to programming errors, specifically in a Java/Maven context"
22.7430,165," code snippets, project names, and URLs alongside japanese words and characters"
19.9555,159, code error messages in Japanese related to Maven Tika
18.5475,157, Japanese programming questions and answers.
20.15255,153, phrases in Japanese about making mistakes and asking for help
24.15096,149, Japanese language error reports concerning software
25.10785,141," Japanese text, specifically the saying ""一をいうと十返ってくる"""
17.15920,139,"Japanese words related to Maven, Java and errors"
14.869,136, Japanese technical language related to software development and debugging.
15.3961,133, words in Japanese related to programming errors and seeking help
22.4084,127, Japanese programming error messages or questions about programming errors
25.2516,122, Japanese text/characters.
25.13864,120,Japanese phrases
23.15827,119," Japanese text mixed with programming terms and possibly the username ""yasu""."
23.10920,118,"a jumble of things related to scientific and technical data, as well as Japanese language"
24.15316,117, blocks of Japanese text expressing confusion and asking for help with a programming problem
19.1115,110, snippets of Japanese code-related forum questions and answers
23.4219,107," text snippets in Japanese, possibly related to computing and error messages, or Chinese place names and historical figures."
24.3463,107, sentences discussing a problem with a Maven build and requesting help in Japanese
19.15088,106,Japanese language in the context of software development or programming
25.1381,106,Japanese text related to programming errors
18.12169,102, Japanese words and phrases related to programming and software development
16.7416,99," Japanese text, specifically looking for patterns in error messages and code-related discussions. Such as identifying ""と思います"" along with は."
