description,total_annotation_match_count,num_features
,2739,11
programming terms,965,1
"Words starting ""spo""",914,1
splitting URLs / quotes,782,1
Code and other unexplained oddities,733,1
Code or technical documentation,682,1
Code and unusual language,649,1
foreign words,501,2
Diverse topics,375,1
punctuation and numbers,354,1
Technical documents,312,1
technical/uncommon language,311,1
Technical writing snippets,290,1
User comments/code snippets,253,1
electronic devices,226,1
version,220,1
punctuation,208,1
seemingly random text,184,1
academic text snippets,170,1
professions,165,1
scientific writing,159,1
lists or definitions,153,1
technical language,139,1
bipolar disorder,136,1
Technical/Business texts,127,1
Foreign language fragments/words,120,1
Roger,118,1
code/tech context,110,1
Document fragments and titles,107,1
Non-English words,107,1
Code and documentation,106,1
SC,106,1
coding and software,102,1
Text snippets,99,1
