feature,annotation_match_count,description,matches_lang_identifier
22.15500,916,time periods,False
21.7256,879,Code and web development,False
24.13490,689,non-English words,False
24.3602,421,,False
24.3018,371,,False
24.2024,343,,False
23.15086,291,Technical/Scientific context,False
16.7301,259,s,False
17.3396,175,research papers,False
19.9087,166,,False
24.10901,151,Mixed data and text,False
19.6232,144,Code-related texts,False
22.15898,133,Steering and user interface elements,False
24.4540,121,foreign words,False
25.2618,119,,False
25.872,103,,False
24.8382,102,Random or broken up text,False
25.9334,102,,False
25.7445,94,,False
