feature,annotation_match_count,description
20.15832,936, sentences in German that uses modal verbs to describe realistic situations
22.10921,903, text in German
23.7105,781, German language text
24.2089,571," sentences in German containing multiple verbs, especially modal verbs"
19.6380,553," German words, and especially modal verbs"
25.5206,501," German sentences and grammar, particularly verb constructions and sentence structure."
23.5974,487," German language text, and specifically finds the word ""fände"""
24.5178,345," sentences discussing verbs or sentence structure, especially in the German language"
21.5243,339, German language text.
22.10094,304, German sentences discussing modal verbs
24.5020,270," German sentences involving multiple verbs, especially modal verbs"
18.15742,221,German words or words relating to German places and history along with contact and address-related terms
24.4641,203, German language text
25.4029,192, German language
24.15337,179," German words related to writing a letter and discussing sentence structure, particularly verbs."
24.12502,175, various German language words and sentence fragments
16.6815,167,sentences in German that use many verbs and involve writing a letter
24.4255,157," German words, especially verbs, related to rules, permissions, and personal experiences"
17.9215,153, German sentences related to writing and grammar
24.5914,151," German sentences containing complex verb phrases with multiple modal verbs and ""Brief"""
19.16344,150, sentences related to writing a letter in German
25.1077,146, references to German language and grammar
23.12117,145," German text with modal verbs, especially the word ""man"" and related sentence structure."
24.12939,145," German words, particularly those related to sentence structure and verbs."
16.8731,141,"German words related to language, grammar and opinions"
24.4493,140, German language text along with some modal verbs and auxiliary verbs
24.14023,139," German words and phrases related to writing and sentences, particularly verbs"
13.13543,136, a mix of German language and lines of code
24.14954,136, German language text
24.2716,136," German sentences with modal verbs, particularly those expressing impossibility or necessity"
23.15714,129," German sentences discussing modal verbs, specifically multiple in a row"
16.7458,126, German sentence fragments
23.12670,125, the German language
21.4535,121, German text related to opinions and situations
22.12710,120, lines containing German words
23.161,117, German words and sentence structure
25.735,113, text in German
23.7305,112," German text containing multiple verbs in a row, often related to modal verbs."
24.12739,111," code snippets, math or number sequences, and a mix of German and Russian words"
24.13555,111,German words and phrases associated with hypothetical situations
18.13291,110, German articles and pronouns
22.10845,108, German sentences related to writing letters
25.6023,108, German sentences containing many verbs and modal verbs.
21.9599,106," sentences in German involving authority figures, honey, legal processes, and grammar"
21.10436,105,sentences written in German
23.11986,105, German language related to laws and permissions
21.2647,104, German language text along with some english words such as Kafka
19.6815,103, German words and phrases related to science and academia.
23.3910,102," German sentences containing verbs, especially ones with multiple verbs"
24.15960,102, German words
12.12293,101, German words and sentence fragments
20.13404,101," German language related to numbers and grammar, particularly articles and adjectives"
21.14926,101, German sentences that discuss modal verbs and give examples of their usage
23.3128,100, grammatically correct German sentences
21.14748,96, german words related to writing or sentences
22.4290,95," German text that has the word ""habe"" (have)"
24.1678,95, German modal verbs and related words.
25.15855,95, German text about writing or constructing sentences with multiple verbs
23.10921,94, sentences in German that mention writing a letter
