feature,annotation_match_count,description
22.15500,916," Spanish words and programming-related terms, especially those used together"
21.7256,879,Spanish language programming questions in Javascript
24.13490,689," news casts, TV programs, and names of Spanish-speaking people in Panama"
24.3602,421,Spanish words in a Javascript code tutorial
24.3018,371, a mix of code snippets and spanish/portuguese words
24.2024,343, Spanish words
23.15086,291, words related to JavaScript and technical documentation in Spanish
16.7301,259," Spanish words, particularly those related to programming concepts"
17.3396,175, Spanish language snippets and references/links to ECMAScript
19.9087,166," code snippets and related terms, also with Spanish words mixed in"
24.10901,151, code snippets and/or Spanish words related to programming
19.6232,144, Spanish language content related to programming and numbers
22.15898,133," Spanish words related to programming concepts such as values, functions, and ECMAScript"
24.4540,121," code snippets and non-English text, particularly Spanish, Portuguese, and French, related to programming and software concepts"
25.2618,119, a mix of Spanish and Javascript programming terms
25.872,103, SQL code and related Spanish words about databases
24.8382,102," words used in programming, especially in Javascript, and also some Spanish words"
25.9334,102, Spanish words and code snippets
25.7445,94, code snippets in Spanish that discuss JavaScript
