feature,annotation_match_count,description
24.12064,43, common english words and sentence structure
24.13785,27, words or phrases within a block of text that seem to be from a non-English language.
19.3273,23,words that are common in conversational English grammar despite having little content.
23.6548,16," a variety of common English words such as ""I"", ""to"", and ""to""."
21.8288,14," words from multiple languages, including German, French, and English, related to situations, claims and states"
22.1429,12, a particular style of English grammar sentence structure.
11.315,10, colloquial Black English in lyrics or speech.
21.12954,10,common words in the English language
23.13202,10," words pertaining to the English language, literature, and theater."
23.11618,9,"text in languages other than English, and also the English preposition 'in'"
18.14322,8,non-English text
24.406,8," non-English characters, especially Chinese and Japanese"
21.1281,6, words and phrases that are commonly used together in the english language.
25.6040,6, terms related to Facebook accounts written in a language other than English.
22.1578,5," the word ""English"", sometimes in the context of education or language"
4.8283,5," a variety of non-English words and also finds words that imply possibility like ""would"" and ""could"""
5.7085,5,"a mix of conversational english, conversational french and legal terminology."
