description,total_annotation_match_count,num_features
,5488,20
Code or technical language,983,1
 =,960,1
pulmonary artery issues,910,1
technical writing,696,1
technical documentation,458,1
foreign words,362,1
Code/unusual tokens,348,1
Python scripting,345,1
exercise,258,1
places,246,1
Idaho,220,1
Non-English words,194,1
Foreign Languages,178,1
e,161,1
rare tokens,155,1
code and software,151,1
Rus,143,1
code related,141,1
code snippets,136,1
code,131,1
non-English words,129,1
