model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,adjective,prompt,tracked_target,baseline_adj_rank,combined_adj_rank,baseline_target_logit,combined_target_logit,delta_combined_logit
gemma-2-2b,0,desc,desc,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,249,17.5,17.375,-0.125
gemma-2-2b,0,desc,val,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,236,17.5,16.25,-1.25
gemma-2-2b,0,desc,freq,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,238,17.5,15.8125,-1.6875
gemma-2-2b,0,val,desc,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,1,17.5,21.75,4.25
gemma-2-2b,0,val,val,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,233,17.5,18.0,0.5
gemma-2-2b,0,val,freq,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,1,17.5,20.375,2.875
gemma-2-2b,0,freq,desc,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,201,17.5,17.75,0.25
gemma-2-2b,0,freq,val,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,224,17.5,16.125,-1.375
gemma-2-2b,0,freq,freq,ko,de,gut,"""gut""의 반대말은 """,schlecht,216,261,17.5,17.625,0.125
gemma-2-2b,1,desc,desc,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,51,18.875,17.5,-1.375
gemma-2-2b,1,desc,val,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,82,18.875,15.5625,-3.3125
gemma-2-2b,1,desc,freq,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,166,18.875,13.0625,-5.8125
gemma-2-2b,1,val,desc,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,5,18.875,19.875,1.0
gemma-2-2b,1,val,val,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,30,18.875,18.5,-0.375
gemma-2-2b,1,val,freq,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,24,18.875,17.0,-1.875
gemma-2-2b,1,freq,desc,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,138,18.875,16.125,-2.75
gemma-2-2b,1,freq,val,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,170,18.875,14.25,-4.625
gemma-2-2b,1,freq,freq,ko,de,glücklich,"""glücklich""의 반대말은 """,traurig,7,134,18.875,16.375,-2.5
gemma-2-2b,2,desc,desc,ko,de,groß,"""groß""의 반대말은 """,klein,1,23,19.75,17.625,-2.125
gemma-2-2b,2,desc,val,ko,de,groß,"""groß""의 반대말은 """,klein,1,25,19.75,16.375,-3.375
gemma-2-2b,2,desc,freq,ko,de,groß,"""groß""의 반대말은 """,klein,1,10,19.75,16.75,-3.0
gemma-2-2b,2,val,desc,ko,de,groß,"""groß""의 반대말은 """,klein,1,0,19.75,21.75,2.0
gemma-2-2b,2,val,val,ko,de,groß,"""groß""의 반대말은 """,klein,1,25,19.75,18.375,-1.375
gemma-2-2b,2,val,freq,ko,de,groß,"""groß""의 반대말은 """,klein,1,0,19.75,20.125,0.375
gemma-2-2b,2,freq,desc,ko,de,groß,"""groß""의 반대말은 """,klein,1,38,19.75,17.125,-2.625
gemma-2-2b,2,freq,val,ko,de,groß,"""groß""의 반대말은 """,klein,1,29,19.75,16.125,-3.625
gemma-2-2b,2,freq,freq,ko,de,groß,"""groß""의 반대말은 """,klein,1,32,19.75,17.625,-2.125
gemma-2-2b,3,desc,desc,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,34,18.5,15.8125,-2.6875
gemma-2-2b,3,desc,val,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,101,18.5,13.4375,-5.0625
gemma-2-2b,3,desc,freq,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,14,18.5,14.5,-4.0
gemma-2-2b,3,val,desc,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,3,18.5,19.25,0.75
gemma-2-2b,3,val,val,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,21,18.5,17.5,-1.0
gemma-2-2b,3,val,freq,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,1,18.5,18.25,-0.25
gemma-2-2b,3,freq,desc,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,34,18.5,15.9375,-2.5625
gemma-2-2b,3,freq,val,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,44,18.5,14.125,-4.375
gemma-2-2b,3,freq,freq,ko,de,heiß,"""heiß""의 반대말은 """,kalt,1,34,18.5,15.9375,-2.5625
gemma-2-2b,4,desc,desc,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,161,20.0,16.875,-3.125
gemma-2-2b,4,desc,val,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,233,20.0,15.25,-4.75
gemma-2-2b,4,desc,freq,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,56,20.0,16.625,-3.375
gemma-2-2b,4,val,desc,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,2,20.0,20.625,0.625
gemma-2-2b,4,val,val,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,151,20.0,17.625,-2.375
gemma-2-2b,4,val,freq,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,1,20.0,20.125,0.125
gemma-2-2b,4,freq,desc,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,255,20.0,16.25,-3.75
gemma-2-2b,4,freq,val,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,232,20.0,14.9375,-5.0625
gemma-2-2b,4,freq,freq,ko,de,schnell,"""schnell""의 반대말은 """,langsam,5,215,20.0,16.625,-3.375
gemma-2-2b,5,desc,desc,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,972,16.75,12.8125,-3.9375
gemma-2-2b,5,desc,val,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,1345,16.75,11.5,-5.25
gemma-2-2b,5,desc,freq,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,842,16.75,11.5625,-5.1875
gemma-2-2b,5,val,desc,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,2,16.75,19.75,3.0
gemma-2-2b,5,val,val,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,1182,16.75,13.4375,-3.3125
gemma-2-2b,5,val,freq,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,4,16.75,18.25,1.5
gemma-2-2b,5,freq,desc,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,1059,16.75,12.625,-4.125
gemma-2-2b,5,freq,val,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,1471,16.75,10.8125,-5.9375
gemma-2-2b,5,freq,freq,ko,de,leicht,"""leicht""의 반대말은 """,schwer,38,1212,16.75,12.625,-4.125
gemma-2-2b,6,desc,desc,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,364,18.625,16.75,-1.875
gemma-2-2b,6,desc,val,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,453,18.625,15.5,-3.125
gemma-2-2b,6,desc,freq,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,434,18.625,15.0,-3.625
gemma-2-2b,6,val,desc,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,12,18.625,21.0,2.375
gemma-2-2b,6,val,val,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,420,18.625,17.375,-1.25
gemma-2-2b,6,val,freq,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,27,18.625,18.875,0.25
gemma-2-2b,6,freq,desc,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,476,18.625,16.625,-2.0
gemma-2-2b,6,freq,val,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,504,18.625,15.0,-3.625
gemma-2-2b,6,freq,freq,ko,de,einfach,"""einfach""의 반대말은 """,schwierig,82,506,18.625,16.625,-2.0
gemma-2-2b,7,desc,desc,ko,de,neu,"""neu""의 반대말은 """,alt,66,130,20.375,19.75,-0.625
gemma-2-2b,7,desc,val,ko,de,neu,"""neu""의 반대말은 """,alt,66,73,20.375,19.125,-1.25
gemma-2-2b,7,desc,freq,ko,de,neu,"""neu""의 반대말은 """,alt,66,275,20.375,16.75,-3.625
gemma-2-2b,7,val,desc,ko,de,neu,"""neu""의 반대말은 """,alt,66,29,20.375,21.0,0.625
gemma-2-2b,7,val,val,ko,de,neu,"""neu""의 반대말은 """,alt,66,112,20.375,20.25,-0.125
gemma-2-2b,7,val,freq,ko,de,neu,"""neu""의 반대말은 """,alt,66,166,20.375,17.25,-3.125
gemma-2-2b,7,freq,desc,ko,de,neu,"""neu""의 반대말은 """,alt,66,136,20.375,19.75,-0.625
gemma-2-2b,7,freq,val,ko,de,neu,"""neu""의 반대말은 """,alt,66,119,20.375,18.25,-2.125
gemma-2-2b,7,freq,freq,ko,de,neu,"""neu""의 반대말은 """,alt,66,148,20.375,19.75,-0.625
