model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
gemma-2-2b,0,desc,desc,es,fr,de,de,schlecht,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,211,211,14.3125,14.3125,0.0,-6.5625,-6.5625,0.0,2.0
gemma-2-2b,0,desc,desc,es,fr,de,en,bad,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,4,4,19.375,19.375,0.0,-1.5,-1.5,0.0,2.0
gemma-2-2b,0,desc,desc,es,fr,de,es,malo,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,1,1,21.375,21.375,0.0,0.5,0.5,0.0,2.0
gemma-2-2b,0,desc,desc,es,fr,de,fr,mauvais,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,2,2,20.875,20.875,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,es,fr,de,ja,悪い,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,6667,6667,8.1875,8.1875,0.0,-12.6875,-12.6875,0.0,2.0
gemma-2-2b,0,desc,desc,es,fr,de,ko,나쁜,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,13943,13943,6.625,6.625,0.0,-14.25,-14.25,0.0,2.0
gemma-2-2b,0,desc,desc,es,fr,de,zh,坏,bon,"Lo opuesto de ""bon"" es """,mauvais,2,2,2006,2006,10.75,10.75,0.0,-10.125,-10.125,0.0,2.0
gemma-2-2b,0,desc,val,es,fr,de,de,schlecht,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,211,424,14.3125,9.0625,-5.25,-6.5625,-8.6875,-2.125,2.0
gemma-2-2b,0,desc,val,es,fr,de,en,bad,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,4,3,19.375,17.0,-2.375,-1.5,-0.75,0.75,2.0
gemma-2-2b,0,desc,val,es,fr,de,es,malo,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,1,2,21.375,17.75,-3.625,0.5,0.0,-0.5,2.0
gemma-2-2b,0,desc,val,es,fr,de,fr,mauvais,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,2,1,20.875,17.75,-3.125,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,val,es,fr,de,ja,悪い,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,6667,3955,8.1875,5.375,-2.8125,-12.6875,-12.375,0.3125,2.0
gemma-2-2b,0,desc,val,es,fr,de,ko,나쁜,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,13943,12184,6.625,3.1875,-3.4375,-14.25,-14.5625,-0.3125,2.0
gemma-2-2b,0,desc,val,es,fr,de,zh,坏,bon,"Lo opuesto de ""bon"" es """,mauvais,2,1,2006,1550,10.75,7.03125,-3.71875,-10.125,-10.71875,-0.59375,2.0
gemma-2-2b,0,desc,freq,es,fr,de,de,schlecht,bon,"Lo opuesto de ""bon"" es """,mauvais,2,3,211,179,14.3125,11.3125,-3.0,-6.5625,-4.8125,1.75,2.0
gemma-2-2b,0,desc,freq,es,fr,de,en,bad,bon,"Lo opuesto de ""bon"" es """,mauvais,2,3,4,0,19.375,17.625,-1.75,-1.5,1.5,3.0,2.0
